seed,update,parameter_id,epsilon,tail_head_update_error_ratio
0,128,transformer.h.0.attn.c_attn.weight,0.01,10.843663439797503
0,128,transformer.h.0.attn.c_attn.weight,0.02,10.843712273650047
0,128,transformer.h.0.attn.c_attn.weight,0.05,10.843776403367821
0,1024,transformer.h.5.mlp.c_proj.weight,0.0025,4.5767971410722845
0,1024,transformer.h.5.mlp.c_proj.weight,0.005,4.576884672000702
0,1024,transformer.h.5.mlp.c_proj.weight,0.01,4.576919455595651
0,1024,transformer.h.5.mlp.c_proj.weight,0.02,4.576938324862618
0,1024,transformer.h.5.mlp.c_proj.weight,0.05,4.5770412593519625
0,4096,transformer.h.3.mlp.c_proj.weight,0.0025,3.020158607268114
0,4096,transformer.h.3.mlp.c_proj.weight,0.005,3.0201430182552764
0,4096,transformer.h.3.mlp.c_proj.weight,0.01,3.020135420933298
0,4096,transformer.h.3.mlp.c_proj.weight,0.02,3.0201345309486123
0,4096,transformer.h.3.mlp.c_proj.weight,0.05,3.0201426216708596
1,128,transformer.h.5.attn.c_proj.weight,0.0025,16.490150459739706
1,128,transformer.h.5.attn.c_proj.weight,0.005,16.49446301147561
1,128,transformer.h.5.attn.c_proj.weight,0.01,16.49548156994699
1,128,transformer.h.5.attn.c_proj.weight,0.02,16.495676567576215
1,128,transformer.h.5.attn.c_proj.weight,0.05,16.49559275776263
1,512,transformer.h.5.mlp.w2.weight,0.0025,5.852936903242835
1,512,transformer.h.5.mlp.w2.weight,0.005,5.852941831307996
1,512,transformer.h.5.mlp.w2.weight,0.01,5.852956951367351
1,512,transformer.h.5.mlp.w2.weight,0.02,5.852951483194032
1,512,transformer.h.5.mlp.w2.weight,0.05,5.853002353751441
1,4096,transformer.h.3.attn.c_proj.weight,0.0025,7.448154421174635
1,4096,transformer.h.3.attn.c_proj.weight,0.005,7.448169252332316
1,4096,transformer.h.3.attn.c_proj.weight,0.01,7.44815340198686
1,4096,transformer.h.3.attn.c_proj.weight,0.02,7.448160017731756
1,4096,transformer.h.3.attn.c_proj.weight,0.05,7.448272450451063
1,4096,transformer.h.3.mlp.c_proj.weight,0.0025,3.1538143648445196
1,4096,transformer.h.3.mlp.c_proj.weight,0.005,3.153844254885181
1,4096,transformer.h.3.mlp.c_proj.weight,0.01,3.1538572645222542
1,4096,transformer.h.3.mlp.c_proj.weight,0.02,3.1538664469871907
1,4096,transformer.h.3.mlp.c_proj.weight,0.05,3.153878076248114
0,128,transformer.h.0.attn.c_attn.weight,0.0025,10.843091553918699
0,128,transformer.h.0.attn.c_attn.weight,0.005,10.843488375844412
0,128,transformer.h.0.attn.c_attn.weight,0.01,10.843663439797503
0,128,transformer.h.0.attn.c_attn.weight,0.02,10.843712273650047
0,128,transformer.h.0.attn.c_attn.weight,0.05,10.843776403367821
0,1024,transformer.h.5.mlp.c_proj.weight,0.0025,4.5767971410722845
0,1024,transformer.h.5.mlp.c_proj.weight,0.005,4.576884672000702
0,1024,transformer.h.5.mlp.c_proj.weight,0.01,4.576919455595651
0,1024,transformer.h.5.mlp.c_proj.weight,0.02,4.576938324862618
0,1024,transformer.h.5.mlp.c_proj.weight,0.05,4.5770412593519625
0,4096,transformer.h.3.mlp.c_proj.weight,0.0025,3.020158607268114
0,4096,transformer.h.3.mlp.c_proj.weight,0.005,3.0201430182552764
0,4096,transformer.h.3.mlp.c_proj.weight,0.01,3.020135420933298
0,4096,transformer.h.3.mlp.c_proj.weight,0.02,3.0201345309486123
0,4096,transformer.h.3.mlp.c_proj.weight,0.05,3.0201426216708596
1,128,transformer.h.5.attn.c_proj.weight,0.0025,16.490150459739706
1,128,transformer.h.5.attn.c_proj.weight,0.005,16.49446301147561
1,128,transformer.h.5.attn.c_proj.weight,0.01,16.49548156994699
1,128,transformer.h.5.attn.c_proj.weight,0.02,16.495676567576215
1,128,transformer.h.5.attn.c_proj.weight,0.05,16.49559275776263
1,512,transformer.h.5.mlp.w2.weight,0.0025,5.852936903242835
1,512,transformer.h.5.mlp.w2.weight,0.005,5.852941831307996
1,512,transformer.h.5.mlp.w2.weight,0.01,5.852956951367351
1,512,transformer.h.5.mlp.w2.weight,0.02,5.852951483194032
1,512,transformer.h.5.mlp.w2.weight,0.05,5.853002353751441
1,4096,transformer.h.3.attn.c_proj.weight,0.0025,7.448154421174635
1,4096,transformer.h.3.attn.c_proj.weight,0.005,7.448169252332316
1,4096,transformer.h.3.attn.c_proj.weight,0.01,7.44815340198686
1,4096,transformer.h.3.attn.c_proj.weight,0.02,7.448160017731756
1,4096,transformer.h.3.attn.c_proj.weight,0.05,7.448272450451063
1,4096,transformer.h.3.mlp.c_proj.weight,0.0025,3.1538143648445196
1,4096,transformer.h.3.mlp.c_proj.weight,0.005,3.153844254885181
1,4096,transformer.h.3.mlp.c_proj.weight,0.01,3.1538572645222542
1,4096,transformer.h.3.mlp.c_proj.weight,0.02,3.1538664469871907
1,4096,transformer.h.3.mlp.c_proj.weight,0.05,3.153878076248114
